
#fdt     /usr/users/tascom/data/NiO/linup020.dat 10/07 1998   13:43:12

#txt     NiO powder DISLRoom temp nano-part sample TAN 250K open PG004 30 NiO 28 pg002 
#cmd     sea

#com     File head parameters:
#fih          H0          K0          L0   PTTH   GETH 

#fhp       -0.58           0        1.01   7716  25512
#com     File parameters:
#fip          2T       Q        I      MON       TIM         2TA     PTEM    GTEM          OM      EA 
           32.51   1.797        2   931172    10.000      33.242  999.999   0.000    -249.345  -1.982 
           32.59   1.797        3   931827    10.000      33.379  999.999   0.000    -248.842  -1.808 
           32.69   1.797        6   930164    10.000      33.535  999.999   0.000    -248.338  -1.609 
           32.78   1.796       12   934626    10.000      33.701  999.999   0.000    -247.833  -1.398 
           32.87   1.796       17   933567    10.000      33.855  999.999   0.000    -247.326  -1.207 
           32.97   1.797       32   933676    10.000      34.021  999.999   0.000    -246.819  -1.007 
           33.06   1.797       42   931121    10.000      34.187  999.999   0.000    -246.311  -0.805 
           33.14   1.796       69   934088    10.000      34.355  999.999   0.000    -245.801  -0.605 
           33.24   1.797      108   933064    10.000      34.521  999.999   0.000    -245.290  -0.411 
           33.33   1.797      123   933197    10.000      34.712  999.999   0.000    -244.778  -0.195 
           33.42   1.797      128   931676    10.000      34.878  999.999   0.000    -244.265  -0.004 
           33.50   1.797      107   934357    10.000      35.056  999.999   0.000    -243.750   0.195 
           33.57   1.796       84   932977    10.000      35.237  999.999   0.000    -243.234   0.391 
           33.66   1.797       60   932961    10.000      35.420  999.999   0.000    -242.716   0.589 
           33.73   1.796       34   935903    10.000      35.620  999.999   0.000    -242.197   0.805 
           33.82   1.797       16   934503    10.000      35.801  999.999   0.000    -241.676   0.994 
           33.88   1.796        8   935377    10.000      36.001  999.999   0.000    -241.153   1.198 
           33.95   1.796        3   935610    10.000      36.199  999.999   0.000    -240.629   1.401 
           34.04   1.797        5   936219    10.000      36.399  999.999   0.000    -240.103   1.601 
           34.10   1.796        2   934778    10.000      36.606  999.999   0.000    -239.575   1.802 
           34.18   1.797        3   938167    10.000      36.804  999.999   0.000    -239.045   1.995 
