
#fdt     /usr/users/tascom/data/NiO/linup016.dat 10/07 1998   12:41:25

#txt     NiO powder DISLRoom temp nano-part sample TAN 250K open PG004 30 NiO 28 pg002 
#cmd     sma 2ta,-3,3,21,10

#com     File head parameters:
#fih   PTTH   GETH 

#fhp   7716  25512
#com     File parameters:
#fip          2T       Q        I      MON       TIM         2TA     PTEM    GTEM 
           33.52   1.805        3   927012    10.000      -2.996  999.999   0.000 
           33.52   1.805        2   926372    10.000      -2.703  999.999   0.000 
           33.52   1.805        3   926241    10.000      -2.400  999.999   0.000 
           33.52   1.805        1   926367    10.000      -2.107  999.999   0.000 
           33.52   1.805        7   928639    10.000      -1.812  999.999   0.000 
           33.52   1.805       54   928155    10.000      -1.504  999.999   0.000 
           33.52   1.805      163   928761    10.000      -1.199  999.999   0.000 
           33.52   1.805      343   929419    10.000      -0.913  999.999   0.000 
           33.52   1.805      575   931336    10.000      -0.603  999.999   0.000 
           33.52   1.805      668   930483    10.000      -0.303  999.999   0.000 
           33.52   1.805      467   930855    10.000       0.010  999.999   0.000 
           33.52   1.805      250   930825    10.000       0.300  999.999   0.000 
           33.52   1.805      126   930630    10.000       0.588  999.999   0.000 
           33.52   1.805       19   928318    10.000       0.891  999.999   0.000 
           33.52   1.805        2   929727    10.000       1.194  999.999   0.000 
