
#fdt     /usr/users/tascom/data/NiO/linup013.dat 10/07 1998   11:08:45

#txt     NiO powder DISLRoom temp nano-part sample TAN 250K open PG004 30 NiO 28 pg002 
#cmd     sma 2t,-1.2,1,21,5

#com     File head parameters:
#fih   PTTH   GETH 

#fhp   7716  25512
#com     File parameters:
#fip          2T       Q        I      MON       TIM         2TA     PTEM    GTEM 
           -1.197323.886     6140   435827     5.000       0.015  999.999   0.000 
           -1.107323.886    11549   435803     5.000       0.015  999.999   0.000 
           -1.007323.886    21394   434438     5.000       0.015  999.999   0.000 
           -0.887323.886    38642   434341     5.000       0.015  999.999   0.000 
           -0.776277.169    62296   435544     5.000       0.017  999.999   0.000 
           -0.676277.169    84477   436050     5.000       0.017  999.999   0.000 
           -0.566277.169   102383   434346     5.000       0.017  999.999   0.000 
           -0.446277.169   112888   435003     5.000       0.017  999.999   0.000 
           -0.346277.169   115692   435668     5.000       0.017  999.999   0.000 
           -0.226277.169   114244   435340     5.000       0.017  999.999   0.000 
           -0.126277.169   109654   435673     5.000       0.017  999.999   0.000 
            0.006277.169    96663   436185     5.000       0.017  999.999   0.000 
            0.116277.169    75156   437123     5.000       0.017  999.999   0.000 
            0.236277.169    47975   435975     5.000       0.017  999.999   0.000 
            0.336277.169    27859   438141     5.000       0.017  999.999   0.000 
            0.466277.169    11335   437600     5.000       0.017  999.999   0.000 
            0.556277.169     6194   437751     5.000       0.017  999.999   0.000 
            0.666277.169     4371   438123     5.000       0.017  999.999   0.000 
            0.786277.169     3998   437835     5.000       0.017  999.999   0.000 
            0.886277.169     3740   440000     5.000       0.017  999.999   0.000 
            1.006277.169     3385   439856     5.000       0.017  999.999   0.000 
