
#fdt     /usr/users/tascom/data/NiO/linup017.dat 10/07 1998   12:55:15

#txt     NiO powder DISLRoom temp nano-part sample TAN 250K open PG004 30 NiO 28 pg002 
#cmd     sma 2t,32,35,21,10

#com     File head parameters:
#fih   PTTH   GETH 

#fhp   7716  25512
#com     File parameters:
#fip          2T       Q        I      MON       TIM         2TA     PTEM    GTEM 
           31.99   1.725      139   938361    10.000       0.027  999.999   0.000 
           32.15   1.733      149   939024    10.000       0.027  999.999   0.000 
           32.30   1.741      139   935056    10.000       0.027  999.999   0.000 
           32.45   1.749      180   936365    10.000       0.027  999.999   0.000 
           32.60   1.757      160   936844    10.000       0.027  999.999   0.000 
           32.75   1.765      159   934318    10.000       0.027  999.999   0.000 
           32.90   1.772      187   936460    10.000       0.027  999.999   0.000 
           33.04   1.780      317   939976    10.000       0.027  999.999   0.000 
           33.19   1.788      521   937190    10.000       0.027  999.999   0.000 
           33.35   1.796      739   938812    10.000       0.027  999.999   0.000 
           33.50   1.804      771   938601    10.000       0.027  999.999   0.000 
           33.64   1.811      669   938512    10.000       0.027  999.999   0.000 
           33.80   1.820      403   938476    10.000       0.027  999.999   0.000 
           33.94   1.827      253   941793    10.000       0.027  999.999   0.000 
           34.10   1.835      176   938969    10.000       0.027  999.999   0.000 
           34.23   1.842      145   938285    10.000       0.027  999.999   0.000 
           34.39   1.850      149   931543    10.000       0.027  999.999   0.000 
           34.54   1.858      133   926110    10.000       0.027  999.999   0.000 
           34.69   1.866      136   923751    10.000       0.027  999.999   0.000 
           34.84   1.874      128   922577    10.000       0.027  999.999   0.000 
           34.98   1.881      123   922362    10.000       0.027  999.999   0.000 
